Feature,Importance
overallqual,0.5659883124200327
grlivarea,0.12933756074695776
totalbsmtsf,0.05439006758623416
garagearea,0.05245224572461124
bsmtfinsf1,0.02961549052873954
yearbuilt,0.024638064798070066
1stflrsf,0.024410128115886796
lotarea,0.020939837097727163
overallcond,0.014407127345199208
yearremodadd,0.013213080153645616
garageyrblt,0.013097735958725916
lotfrontage,0.009996660892562802
2ndflrsf,0.009602954128322048
openporchsf,0.008908096479802435
bsmtunfsf,0.00820450752237671
garagefinish_Unf,0.003945794676596073
masvnrarea,0.003529630977442079
bedroomabvgr,0.002877937413146907
kitchenqual_Gd,0.002050753487872611
bsmtexposure_Gd,0.0016451944437499938
bsmtexposure_No,0.0011907842896055078
kitchenqual_TA,0.001099821494372953
bsmtfintype1_GLQ,0.0008853261128186611
bsmtfintype1_Rec,0.000704191348680961
kitchenqual_Fa,0.0007024551272364967
bsmtfintype1_LwQ,0.0005853222676438874
bsmtfintype1_Unf,0.0005839907326655333
garagefinish_RFn,0.00043218527554954506
bsmtfintype1_BLQ,0.000347045917873605
bsmtexposure_Mn,0.00021769693585095174
