Feature,Importance
overallqual,0.5258299279452592
grlivarea,0.14483034462404082
garagearea,0.05865101808133644
totalbsmtsf,0.053226292183997465
yearbuilt,0.038472008164411556
bsmtfinsf1,0.0349345351854566
lotarea,0.02498737049044849
overallcond,0.02267605224652439
1stflrsf,0.01880947039710283
yearremodadd,0.018291767718541973
garageyrblt,0.009500187026606648
2ndflrsf,0.00841904816864444
lotfrontage,0.006662975503100102
bsmtunfsf,0.0063136488374220525
garagefinish_Unf,0.004753402525444531
openporchsf,0.00443692454896766
bedroomabvgr,0.00433463290902078
kitchenqual_TA,0.004030832582161475
kitchenqual_Gd,0.0031583324864949223
masvnrarea,0.002518929893571488
bsmtexposure_No,0.0017187320160796365
bsmtexposure_Gd,0.0015974749738165476
bsmtfintype1_Rec,0.0005574098898131779
bsmtfintype1_GLQ,0.0004609128474098899
kitchenqual_Fa,0.0002461830901311152
bsmtfintype1_Unf,0.00024516892377198234
garagefinish_RFn,0.00010989725730441605
bsmtfintype1_BLQ,0.00010472999997363899
bsmtexposure_Mn,6.998239619316863e-05
bsmtfintype1_LwQ,5.180708695260763e-05
