Feature,VIF
GrLivArea,10.91782932884843
YearBuilt,7.769192420096979
2ndFlrSF,7.348349228041955
1stFlrSF,7.077169249141012
YearRemodAdd,5.210759141713984
BedroomAbvGr,4.4745288339118945
BsmtUnfSF,3.756420415161767
BsmtFinSF1,3.562095120140935
OverallQual,2.8031696975566014
GarageArea,2.447565104221702
LotArea,2.066487104496457
TotalBsmtSF,1.9260390111467292
LotFrontage,1.7886327064024083
GarageYrBlt,1.5838521179899814
OverallCond,1.514088514757892
OpenPorchSF,1.3946597691980818
MasVnrArea,1.3836030338110266
