Feature,Mean SHAP Value
OverallQual,0.15357566725677377
GrLivArea,0.09642864902398296
TotalBsmtSF,0.035503743275652616
YearBuilt,0.032242498656797874
BsmtFinSF1,0.03074282154011163
GarageArea,0.030487596334088866
OverallCond,0.02983484969181006
LotArea,0.023741052195047293
YearRemodAdd,0.023463014601047993
1stFlrSF,0.010861073413660334
GarageYrBlt,0.010094957105500351
2ndFlrSF,0.00807264684983496
BsmtUnfSF,0.007824667778436566
OpenPorchSF,0.007327227839190113
LotFrontage,0.0059399179651017575
GarageFinish_Unf,0.005643814463776639
BsmtExposure_No,0.005277672679882131
KitchenQual_TA,0.005076584461459562
MasVnrArea,0.004189012800962564
BsmtExposure_Gd,0.0030074071663900672
BedroomAbvGr,0.002231944739058803
KitchenQual_Gd,0.002131596678613697
BsmtFinType1_Rec,0.0011698160626492631
BsmtFinType1_BLQ,0.000886589669758308
BsmtFinType1_GLQ,0.000799614604324673
BsmtExposure_Mn,0.0005682491296314734
BsmtFinType1_Unf,0.00046319136584748263
BsmtFinType1_LwQ,0.0003478706037631462
GarageFinish_RFn,0.00030314354419343193
KitchenQual_Fa,0.000143211512019248
