Feature,Mean SHAP Value
OverallQual,0.20013302225394025
GrLivArea,0.08433765222671973
TotalBsmtSF,0.032506017244879365
GarageArea,0.027360514672066127
BsmtFinSF1,0.024495129677782668
YearBuilt,0.01909492669643171
LotArea,0.015185612888214782
YearRemodAdd,0.014270598740868454
1stFlrSF,0.013741245263834417
OverallCond,0.010863112106763056
GarageYrBlt,0.008320197197614915
2ndFlrSF,0.0064646483688681495
GarageFinish_Unf,0.005432243726642865
BsmtUnfSF,0.004459356293900984
LotFrontage,0.0042367564524688275
OpenPorchSF,0.003957347959276482
MasVnrArea,0.002446126376426824
BsmtExposure_Gd,0.001960806456415272
BsmtExposure_No,0.0018361932648367082
KitchenQual_TA,0.0016550837144739391
BsmtFinType1_GLQ,0.0013038499163350453
KitchenQual_Gd,0.001289225037818612
BedroomAbvGr,0.0011092802377920402
BsmtFinType1_Unf,0.0007357144378807996
KitchenQual_Fa,0.0004072942452856024
BsmtFinType1_Rec,0.0003875668957963683
GarageFinish_RFn,0.0003553601736818676
BsmtFinType1_LwQ,0.0002541792259607575
BsmtFinType1_BLQ,0.0002155609094709146
BsmtExposure_Mn,0.00012597830975146965
